Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
tesalia,93.2,10,149.8,176.66,200.13,226.73,267.39,302.92
tesalia,93.2,20,94.8,111.8,126.66,143.49,169.22,191.71
tesalia,93.2,30,72.55,85.55,96.92,109.8,129.49,146.7
tesalia,93.2,45,55.51,65.47,74.17,84.02,99.09,112.25
tesalia,93.2,60,45.91,54.14,61.34,69.49,81.95,92.84
tesalia,93.2,90,35.13,41.43,46.94,53.18,62.71,71.04
tesalia,93.2,120,29.06,34.27,38.82,43.98,51.87,58.76
tesalia,93.2,150,25.08,29.57,33.5,37.96,44.76,50.71
tesalia,93.2,180,22.23,26.22,29.71,33.65,39.69,44.96
