Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
Gigante,63.5,10,108.94,128.48,145.55,164.89,194.46,220.3
Gigante,63.5,20,68.95,81.31,92.11,104.36,123.07,139.42
Gigante,63.5,30,52.76,62.22,70.49,79.85,94.17,106.69
Gigante,63.5,45,40.37,47.61,53.94,61.1,72.06,81.64
Gigante,63.5,60,33.39,39.38,44.61,50.54,59.6,67.52
Gigante,63.5,90,25.55,30.13,34.14,38.67,45.61,51.67
Gigante,63.5,120,21.13,24.92,28.23,31.98,37.72,42.73
Gigante,63.5,150,18.24,21.51,24.37,27.6,32.55,36.88
Gigante,63.5,180,16.17,19.07,21.6,24.47,28.86,32.7
