Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
santa maria,70.91,10,119.39,140.8,159.51,180.71,213.11,241.43
santa maria,70.91,20,75.56,89.11,100.95,114.37,134.87,152.8
santa maria,70.91,30,57.82,68.19,77.25,87.51,103.21,116.92
santa maria,70.91,45,44.24,52.18,59.11,66.97,78.97,89.47
santa maria,70.91,60,36.59,43.15,48.89,55.39,65.32,74.0
santa maria,70.91,90,28.0,33.02,37.41,42.38,49.98,56.62
santa maria,70.91,120,23.16,27.31,30.94,35.05,41.34,46.83
santa maria,70.91,150,19.99,23.57,26.7,30.25,35.68,40.42
santa maria,70.91,180,17.72,20.9,23.68,26.82,31.63,35.84
