Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
san agustin,53.69,10,94.78,111.77,126.62,143.45,169.17,191.65
san agustin,53.69,20,59.98,70.74,80.14,90.79,107.07,121.29
san agustin,53.69,30,45.9,54.13,61.32,69.47,81.93,92.82
san agustin,53.69,45,35.12,41.42,46.92,53.16,62.69,71.02
san agustin,53.69,60,29.05,34.26,38.81,43.97,51.85,58.74
san agustin,53.69,90,22.23,26.21,29.7,33.64,39.68,44.95
san agustin,53.69,120,18.38,21.68,24.56,27.83,32.82,37.18
san agustin,53.69,150,15.87,18.71,21.2,24.02,28.32,32.08
san agustin,53.69,180,14.07,16.59,18.79,21.29,25.11,28.45
