Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
mediania,60.92,10,105.26,124.13,140.62,159.31,187.88,212.84
mediania,60.92,20,66.61,78.56,89.0,100.82,118.9,134.7
mediania,60.92,30,50.97,60.11,68.1,77.15,90.99,103.08
mediania,60.92,45,39.01,46.0,52.11,59.04,69.62,78.87
mediania,60.92,60,32.26,38.04,43.1,48.83,57.58,65.23
mediania,60.92,90,24.69,29.11,32.98,37.36,44.06,49.92
mediania,60.92,120,20.42,24.08,27.28,30.9,36.44,41.29
mediania,60.92,150,17.62,20.78,23.54,26.67,31.45,35.63
mediania,60.92,180,15.62,18.42,20.87,23.65,27.89,31.59
