Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
mesa redonda,89.67,10,145.07,171.09,193.82,219.58,258.95,293.36
mesa redonda,89.67,20,91.81,108.28,122.67,138.97,163.89,185.66
mesa redonda,89.67,30,70.26,82.86,93.87,106.34,125.41,142.07
mesa redonda,89.67,45,53.76,63.4,71.83,81.37,95.96,108.71
mesa redonda,89.67,60,44.46,52.44,59.41,67.3,79.37,89.91
mesa redonda,89.67,90,34.02,40.13,45.46,51.5,60.73,68.8
mesa redonda,89.67,120,28.14,33.19,37.6,42.59,50.23,56.9
mesa redonda,89.67,150,24.29,28.64,32.45,36.76,43.35,49.11
mesa redonda,89.67,180,21.53,25.39,28.77,32.59,38.44,43.54
