Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
laguna,56.78,10,99.28,117.09,132.64,150.27,177.22,200.77
laguna,56.78,20,62.83,74.1,83.95,95.1,112.16,127.06
laguna,56.78,30,48.08,56.7,64.24,72.77,85.82,97.23
laguna,56.78,45,36.79,43.39,49.16,55.69,65.67,74.4
laguna,56.78,60,30.43,35.89,40.65,46.06,54.32,61.53
laguna,56.78,90,23.28,27.46,31.11,35.24,41.56,47.09
laguna,56.78,120,19.26,22.71,25.73,29.15,34.38,38.94
laguna,56.78,150,16.62,19.6,22.21,25.16,29.67,33.61
laguna,56.78,180,14.74,17.38,19.69,22.3,26.3,29.8
