Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
villa_vieja,94.94,10,152.12,179.39,203.23,230.24,271.52,307.6
villa_vieja,94.94,20,96.27,113.53,128.62,145.71,171.84,194.68
villa_vieja,94.94,30,73.67,86.88,98.42,111.5,131.49,148.97
villa_vieja,94.94,45,56.37,66.48,75.31,85.32,100.62,113.99
villa_vieja,94.94,60,46.62,54.98,62.29,70.57,83.22,94.28
villa_vieja,94.94,90,35.68,42.07,47.66,54.0,63.68,72.14
villa_vieja,94.94,120,29.51,34.8,39.42,44.66,52.67,59.67
villa_vieja,94.94,150,25.47,30.03,34.02,38.54,45.46,51.5
villa_vieja,94.94,180,22.58,26.63,30.17,34.17,40.3,45.66
