Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
palermo,83.55,10,136.81,161.34,182.78,207.07,244.2,276.65
palermo,83.55,20,86.58,102.11,115.68,131.05,154.55,175.08
palermo,83.55,30,66.25,78.13,88.52,100.28,118.26,133.97
palermo,83.55,45,50.7,59.79,67.73,76.73,90.49,102.52
palermo,83.55,60,41.93,49.45,56.02,63.46,74.84,84.79
palermo,83.55,90,32.09,37.84,42.87,48.56,57.27,64.88
palermo,83.55,120,26.54,31.3,35.45,40.17,47.37,53.66
palermo,83.55,150,22.9,27.01,30.6,34.66,40.88,46.31
palermo,83.55,180,20.31,23.95,27.13,30.73,36.25,41.06
