Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
neiva granja,71.3,10,119.94,141.44,160.24,181.53,214.09,242.53
neiva granja,71.3,20,75.91,89.52,101.41,114.89,135.49,153.49
neiva granja,71.3,30,58.08,68.5,77.6,87.91,103.68,117.46
neiva granja,71.3,45,44.45,52.42,59.38,67.27,79.34,89.88
neiva granja,71.3,60,36.76,43.35,49.11,55.64,65.62,74.33
neiva granja,71.3,90,28.13,33.17,37.58,42.58,50.21,56.88
neiva granja,71.3,120,23.26,27.44,31.08,35.21,41.53,47.04
neiva granja,71.3,150,20.08,23.68,26.83,30.39,35.84,40.6
neiva granja,71.3,180,17.8,20.99,23.78,26.94,31.78,36.0
