Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
nataga,83.16,10,136.28,160.71,182.07,206.26,243.25,275.57
nataga,83.16,20,86.25,101.71,115.23,130.54,153.95,174.4
nataga,83.16,30,66.0,77.83,88.17,99.89,117.8,133.46
nataga,83.16,45,50.5,59.56,67.47,76.44,90.14,102.12
nataga,83.16,60,41.77,49.26,55.8,63.22,74.55,84.46
nataga,83.16,90,31.96,37.69,42.7,48.38,57.05,64.63
nataga,83.16,120,26.43,31.17,35.32,40.01,47.18,53.45
nataga,83.16,150,22.81,26.9,30.48,34.53,40.72,46.13
nataga,83.16,180,20.23,23.85,27.02,30.62,36.11,40.9
