Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
yaguara,88.71,10,143.78,169.57,192.1,217.63,256.65,290.75
yaguara,88.71,20,91.0,107.31,121.58,137.73,162.43,184.01
yaguara,88.71,30,69.63,82.12,93.03,105.39,124.29,140.81
yaguara,88.71,45,53.28,62.84,71.19,80.65,95.11,107.75
yaguara,88.71,60,44.07,51.97,58.88,66.7,78.66,89.11
yaguara,88.71,90,33.72,39.77,45.05,51.04,60.19,68.19
yaguara,88.71,120,27.89,32.89,37.26,42.21,49.78,56.4
yaguara,88.71,150,24.07,28.39,32.16,36.43,42.97,48.67
yaguara,88.71,180,21.34,25.17,28.51,32.3,38.09,43.16
