Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
juncal,88.24,10,143.15,168.82,191.25,216.67,255.52,289.47
juncal,88.24,20,90.6,106.84,121.04,137.12,161.71,183.2
juncal,88.24,30,69.33,81.76,92.62,104.93,123.74,140.19
juncal,88.24,45,53.05,62.56,70.87,80.29,94.69,107.27
juncal,88.24,60,43.87,51.74,58.62,66.41,78.31,88.72
juncal,88.24,90,33.57,39.59,44.85,50.82,59.93,67.89
juncal,88.24,120,27.77,32.75,37.1,42.03,49.56,56.15
juncal,88.24,150,23.96,28.26,32.02,36.27,42.78,48.46
juncal,88.24,180,21.25,25.06,28.39,32.16,37.93,42.97
