Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
jagua,70.54,10,118.88,140.19,158.82,179.93,212.19,240.39
jagua,70.54,20,75.23,88.72,100.51,113.87,134.29,152.14
jagua,70.54,30,57.57,67.89,76.91,87.14,102.76,116.42
jagua,70.54,45,44.05,51.95,58.86,66.68,78.63,89.08
jagua,70.54,60,36.43,42.97,48.68,55.15,65.03,73.68
jagua,70.54,90,27.88,32.88,37.25,42.2,49.76,56.38
jagua,70.54,120,23.06,27.19,30.81,34.9,41.16,46.63
jagua,70.54,150,19.9,23.47,26.59,30.12,35.52,40.24
jagua,70.54,180,17.64,20.81,23.57,26.71,31.5,35.68
