Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
palestina,54.09,10,95.36,112.46,127.41,144.34,170.22,192.84
palestina,54.09,20,60.35,71.18,80.63,91.35,107.73,122.04
palestina,54.09,30,46.18,54.46,61.7,69.9,82.43,93.39
palestina,54.09,45,35.34,41.68,47.21,53.49,63.08,71.46
palestina,54.09,60,29.23,34.47,39.05,44.24,52.17,59.1
palestina,54.09,90,22.37,26.38,29.88,33.85,39.92,45.23
palestina,54.09,120,18.5,21.81,24.71,28.0,33.02,37.41
palestina,54.09,150,15.96,18.83,21.33,24.16,28.5,32.28
palestina,54.09,180,14.15,16.69,18.91,21.42,25.27,28.62
